frequency_mhz,name
118.100,Baia Mare Tower (LRBM)
118.250,București Approach (LRBS/LROP)
118.300,Suceava Tower (LRSV)
118.400,Ploiești / Gheorghe Valentin Bibescu OPC (LRPW)
118.500,Otopeni ATIS (LROP)
118.600,Bacău Tower (LRBC)
118.625,Sector DINSI ALTN (București ACC)
118.750,Constanța ATIS (LRCK)
118.800,Satu Mare Tower (LRSM) / Otopeni Ground ALTN (LROP)
119.200,Iași Tower (LRIS)
119.700,Aeroclub Teritorial Brașov (Aerodrom Sânpetru)
119.875,Aeroclub Teritorial Cluj
120.100,Timișoara Tower (LRTR)
120.200,Oradea Tower (LROD) / Aerodrom Ineu
120.300,Tulcea Tower (LRTC)
120.325,Târgu Mureș Tower (LRTM)
120.450,Constanța Tower (LRCK)
120.600,București Approach ALTN (LRBS/LROP)
120.800,Băneasa Tower (LRBS)
120.900,Otopeni Tower RWY 08R/26L (LROP)
120.925,Sector NAPOC ALTN (București ACC)
121.175,Sector ARGEȘ MIDDLE BLW FL345 (București ACC)
121.375,Sector MOPUG MIDDLE BLW FL345 (București ACC)
121.500,Emergency (EMERG — all stations)
121.600,Timișoara Ground (LRTR)
121.700,Otopeni Ground (LROP)
121.850,Otopeni Tower RWY 08L/26R (LROP)
122.025,Sector NAPOC MIDDLE BLW FL345 (București ACC)
122.100,Mil Tower (multiple airports)
122.375,Sector DINSI MIDDLE BLW FL345 (București ACC)
122.400,Câmpia Turzii FIC (military LRCT)
122.700,Sibiu Tower (LRSB)
122.725,Sector DINSI ALTN (București ACC)
122.900,Constanța Approach (LRCK)
123.125,Timișoara ATIS (LRTR)
123.225,București Information — Moldova FIS
123.265,Sector ARGEȘ TOP ABV FL345 (București ACC)
123.300,Mihail Kogălniceanu APP (military LRCK)
123.450,Aerodrom Vădeni / Dunavățul de Jos / Nana
123.600,Pitești Geamăna OPC (LRPT) / Aeroclub Brașov Ghimbav
123.900,Sectors NAPOC/KOMAN1/KOMAN2/ARGEȘ ALTN (București ACC)
124.100,Sector BUDOP MIDDLE BLW FL345 (București ACC)
124.200,Fetești / Borcea FIC (military LRFT)
124.300,Craiova Tower (LRCV)
124.350,Sector MOPUG ALTN (București ACC)
124.450,Câmpia Turzii APP (military LRCT)
124.530,Brașov ATIS
124.750,Bacău APP (military LRBC)
124.975,Sectors NAPOC/ARGEȘ ALTN (București ACC)
125.100,Cluj Approach/Radar (LRCL)
125.150,Sector NERDI MIDDLE BLW FL345 / ALTN (București ACC)
125.400,Boboc TWR1/APP (military LRBO)
125.525,Cluj ATIS (LRCL)
125.725,Sector BACĂU ALTN (București ACC)
125.765,Sector MOPUG TOP ABV FL345 (București ACC)
125.950,Târgu Mureș ATIS (LRTM)
126.125,Băneasa ATIS (LRBS)
126.350,Arad Approach ALTN (LRAR)
126.725,Sectors NAPOC/KOMAN1/KOMAN2/ARGEȘ ALTN (București ACC)
126.950,Sibiu ATIS (LRSB)
127.000,Fetești / Borcea APP (military LRFT)
127.075,Sector NAPOC (București ACC)
127.250,Arad Approach (LRAR)
127.350,Constanța Approach ALTN (LRCK)
127.900,Sector BACĂU (București ACC)
128.100,Craiova APP (military LRCV)
128.580,Sector DINSI TOP ABV FL345 (București ACC)
128.700,Ghimbav / IAR Brașov OPC (LRBG)
128.900,Aerodrom Băleni / Cioca / Bănești
129.400,București Information — Muntenia/Oltenia FIS
129.450,Timișoara Tower ALTN (LRTR)
129.500,Boboc ATIS (military LRBO)
129.750,Sectors KOMAN1/KOMAN2 MIDDLE (București ACC)
129.950,Băneasa Ground (LRBS)
130.000,Boboc FIC (military LRBO)
130.200,Arad Tower (LRAR)
131.400,Măgura Dispatch (LRCD)
131.475,Tuzla OPC (LRTZ)
131.600,Boboc TWR2 (military LRBO)
131.650,Bistrița OPC (LRBN)
131.675,Midia Heliport OPC (LRMC)
131.710,Arad / Charlie-Bravo Șiria OPC (LRCB)
132.125,Brașov / Cobrex OPC (LRCX)
132.750,Sector BUDOP ALTN (București ACC)
132.865,Sector NAPOC TOP ABV FL345 (București ACC)
133.630,Sector NERDI TOP ABV FL345 (București ACC)
134.380,Sector KOMAN2 TOP ABV FL345 (București ACC)
134.400,Cluj Tower (LRCL)
134.460,Sector BUDOP TOP ABV FL345 (București ACC)
134.800,Bacău FIC (military LRBC)
135.190,Brașov Sânpetru OPC (LRSP) / Deva OPC (LRDV)
136.225,București Information — Ardeal FIS
136.575,București Information — Banat FIS
136.675,București Information — Dobrogea FIS
